date,_label_nic_down:1,_label_tc_delay:1,_label_vdb_hack:1,dev_sdc_tps,dev_sdc_rd_sec,dev_sdc_wr_sec,dev_sdc_avgrq-sz,dev_sdc_await,dev_sdc_svctm,dev_sde_tps,dev_sde_rd_sec,dev_sde_wr_sec,dev_sde_avgrq-sz,dev_sde_avgqu-sz,dev_sde_await,dev_sde_svctm,dev_sdg_tps,dev_sdg_wr_sec,dev_sdg_avgrq-sz,dev_sdg_await,dev_sdg_svctm,cached,dirty,cpu_all_usr,cpu_all_sys,iface_enp6s0f0_rxpck,iface_enp6s0f0_txpck,iface_enp6s0f0_rxkB,iface_enp6s0f0_txkB,iface_enp6s0f1_rxpck,iface_enp6s0f1_txpck,iface_enp6s0f1_rxkB,iface_enp6s0f1_txkB,iface_enp131s0f0_rxpck,iface_enp131s0f0_txpck,iface_enp131s0f0_rxkB,iface_enp131s0f0_txkB,iface_enp131s0f1_rxpck,iface_enp131s0f1_txpck,iface_enp131s0f1_rxkB,iface_enp131s0f1_txkB
10/04 17:30:27,,,,188.12,30811.88,29924.75,322.86,63.55,5.31,187.13,24962.38,25944.55,272.04,10.11,88.95,5.33,171.29,26704.95,291.23,59.45,5.82,744668,1304,0.15,0.37,637.62,119.8,50.02,18.38,1628.71,2030.69,4990.05,15095.02,5575.25,5459.41,32402.93,40149.93,1515.84,2191.09,3785.81,16760.43
10/04 17:30:29,,,,139.0,17062.0,18436.0,255.38,29.24,6.29,189.0,26446.0,23836.0,266.04,11.35,56.31,5.33,148.0,26816.0,294.32,87.68,6.8,744744,312,0.15,0.4,627.0,120.0,50.74,18.23,1651.0,1876.0,5475.18,13574.82,4670.0,4441.0,26118.15,30449.91,1514.0,1634.0,4570.32,11609.19
10/04 17:30:31,0,0,0,140.59,22950.5,22295.05,321.82,66.15,7.09,122.77,16952.48,21841.58,315.98,5.09,44.85,5.94,108.91,21671.29,335.2,86.35,7.24,744788,388,0.32,0.32,629.7,123.76,48.94,19.23,1361.39,1546.53,3891.39,11617.13,3814.85,3622.77,21879.55,27595.98,1230.69,1436.63,3049.52,10851.51
10/04 17:30:33,,,,110.89,14225.74,16800.0,279.79,19.26,5.95,146.53,14029.7,16942.57,211.36,4.73,32.31,6.48,106.93,15524.75,220.44,45.31,8.1,744888,532,0.25,0.32,636.63,128.71,50.76,20.23,1437.62,1222.77,4734.34,8229.27,3329.7,2641.58,18057.49,17342.67,1534.65,1255.45,5796.99,8639.33
10/04 17:30:35,,,,174.26,25067.33,29699.01,314.28,69.88,5.73,195.05,23538.61,33200.0,290.89,8.0,45.2,4.86,159.41,22463.37,298.62,50.89,6.26,744884,324,0.15,0.4,619.8,126.73,48.9,19.38,1879.21,2068.32,7391.75,15216.28,5230.69,5230.69,31090.02,36702.06,1558.42,1996.04,4508.59,14757.24
10/04 17:30:37,,,,172.0,25372.0,22096.0,275.98,56.62,5.86,147.0,22464.0,18450.0,278.33,3.92,25.26,5.49,138.0,23004.0,264.84,63.78,7.3,745056,404,0.12,0.37,624.0,119.0,49.33,18.16,1526.0,1487.0,4725.07,10449.37,4288.0,4433.0,23468.71,31012.18,1482.0,1806.0,3981.84,13504.28
10/04 17:30:39,,,,134.65,18009.9,23710.89,309.84,41.74,5.93,168.32,27534.65,23522.77,303.34,6.23,38.32,5.46,150.5,20926.73,283.13,79.87,6.63,745136,544,0.17,0.35,626.73,118.81,48.94,18.02,1672.28,1521.78,6512.63,10641.03,4412.87,4696.04,23814.66,33959.53,1668.32,1737.62,6247.31,12613.84
10/04 17:30:41,,,,153.47,19558.42,21823.76,269.65,56.56,6.24,144.55,22378.22,17196.04,273.77,4.01,24.96,5.86,151.49,26081.19,282.97,108.59,6.58,745212,620,0.15,0.35,620.79,114.85,48.11,17.54,1761.39,1588.12,6919.49,11230.35,3916.83,4075.25,20010.92,29674.84,1472.28,1241.58,4762.29,8318.51
10/04 17:30:43,,,,141.58,12469.31,23304.95,252.67,26.94,6.1,168.32,21394.06,24479.21,272.54,9.88,76.49,5.93,164.36,32231.68,301.64,48.38,6.07,745288,696,0.15,0.32,635.64,124.75,49.17,19.4,1780.2,1972.28,6471.11,14320.71,4822.77,3819.8,28273.65,25659.32,1562.38,1919.8,4538.03,14077.35
10/04 17:30:45,,,,154.0,14138.0,28782.0,278.7,34.42,5.9,166.0,23826.0,23422.0,284.63,12.57,51.81,6.07,151.0,24844.0,286.44,89.93,6.67,745364,772,0.12,0.37,639.0,118.0,49.64,18.02,1569.0,1678.0,5276.39,12076.05,4240.0,3921.0,23490.77,27450.02,1666.0,1623.0,5968.55,11442.87
10/04 17:30:47,,,,123.76,17223.76,20825.74,307.44,42.88,6.09,137.62,17500.99,23150.5,295.38,8.7,90.2,5.84,175.25,26950.5,277.4,98.53,5.69,745436,848,0.12,0.35,630.69,119.8,48.98,18.11,1536.63,1738.61,4822.62,12780.77,4436.63,4039.6,25750.89,28742.34,1572.28,1809.9,5182.16,13418.26
10/04 17:30:49,,,,177.23,23200.0,31015.84,305.91,84.36,5.63,151.49,18691.09,27388.12,304.18,5.13,33.54,5.86,180.2,28728.71,304.6,71.23,5.54,745520,928,0.12,0.37,620.79,115.84,47.18,17.4,2107.92,2003.96,9336.8,14268.64,4998.02,4847.52,29071.78,34375.71,1851.49,1981.19,6756.11,14321.12
10/04 17:30:51,,,,169.31,25289.11,26403.96,305.32,40.78,5.89,133.66,20053.47,18045.54,285.04,3.14,24.21,5.72,154.46,26077.23,283.68,88.72,6.46,745588,1004,0.15,0.37,632.67,110.89,48.07,17.06,1707.92,1483.17,6333.3,10168.59,4201.98,4469.31,21690.5,32430.14,1649.5,1622.77,6176.26,11582.93
10/04 17:30:53,0,0,0,169.0,27852.0,20560.0,286.46,89.34,5.97,148.0,19852.0,22708.0,287.57,5.06,34.2,6.11,158.0,25962.0,287.97,110.3,6.39,745668,1096,0.15,0.32,638.0,113.0,49.46,17.32,1509.0,1658.0,4482.51,12195.49,4909.0,4648.0,27617.19,34248.98,1514.0,1959.0,4384.87,14846.76
10/04 17:30:55,,,,161.39,21128.71,24619.8,283.47,93.35,6.08,177.23,23095.05,26861.39,281.88,9.99,37.99,5.63,173.27,29776.24,298.85,73.81,5.75,745748,1176,0.15,0.4,626.73,117.82,48.9,17.98,1739.6,2057.43,5732.13,15141.78,5224.75,4721.78,31296.18,33961.94,1737.62,2013.86,5878.26,14886.11
10/04 17:30:57,0,0,0,155.45,19352.48,26025.74,291.92,50.38,6.41,161.39,21825.74,22823.76,276.66,6.24,40.45,5.65,202.97,27213.86,277.16,77.97,4.91,745820,1252,0.12,0.37,635.64,121.78,50.03,18.71,1532.67,1550.5,4701.68,10946.11,4706.93,4998.02,25161.51,35741.36,1856.44,1866.34,7246.06,13224.99
10/04 17:30:59,,,,174.26,25671.29,24116.83,285.72,58.92,5.72,128.71,26954.46,17320.79,343.98,2.94,22.74,5.95,171.29,20003.96,255.47,48.72,5.82,745900,424,0.15,0.32,637.62,117.82,49.63,17.98,1742.57,1576.24,6738.54,10923.06,4476.24,5266.34,22938.19,38339.43,1294.06,1623.76,2658.87,11845.62
10/04 17:31:01,,,,194.0,23766.0,27830.0,265.96,75.47,5.19,177.0,24844.0,30590.0,313.19,13.65,46.85,5.69,190.0,26322.0,268.4,38.02,5.29,745980,504,0.15,0.4,646.0,124.0,50.32,18.84,1673.0,1836.0,5319.14,13424.07,5379.0,5281.0,29900.2,36815.53,1694.0,2158.0,4732.97,16221.1
10/04 17:31:03,,,,163.37,21546.53,26384.16,293.39,39.25,6.02,162.38,27174.26,24609.9,318.91,6.57,65.57,5.7,162.38,24526.73,303.63,74.28,6.15,746056,576,0.12,0.4,622.77,119.8,48.41,18.33,1473.27,1883.17,4124.68,14205.79,5300.0,5191.09,30682.3,37138.48,1360.4,2075.25,2904.15,16033.89
