date,_label_nic_down:1,_label_tc_delay:1,_label_vdb_hack:1,dev_sdc_tps,dev_sdc_rd_sec,dev_sdc_wr_sec,dev_sdc_avgrq-sz,dev_sdc_await,dev_sdc_svctm,dev_sde_tps,dev_sde_rd_sec,dev_sde_wr_sec,dev_sde_avgrq-sz,dev_sde_avgqu-sz,dev_sde_await,dev_sde_svctm,dev_sdg_tps,dev_sdg_wr_sec,dev_sdg_avgrq-sz,dev_sdg_await,dev_sdg_svctm,cached,dirty,cpu_all_usr,cpu_all_sys,iface_enp6s0f0_rxpck,iface_enp6s0f0_txpck,iface_enp6s0f0_rxkB,iface_enp6s0f0_txkB,iface_enp6s0f1_rxpck,iface_enp6s0f1_txpck,iface_enp6s0f1_rxkB,iface_enp6s0f1_txkB,iface_enp131s0f0_rxpck,iface_enp131s0f0_txpck,iface_enp131s0f0_rxkB,iface_enp131s0f0_txkB,iface_enp131s0f1_rxpck,iface_enp131s0f1_txpck,iface_enp131s0f1_rxkB,iface_enp131s0f1_txkB
10/04 18:40:24,,,,103.0,13208.0,16636.0,289.75,24.42,7.1,157.0,27100.0,21166.0,307.43,6.28,38.94,5.73,181.0,27598.0,305.52,47.34,5.48,828252,944,0.28,0.4,644.0,116.0,49.82,18.7,1619.0,1789.0,5586.87,12828.12,4816.0,4916.0,25851.11,34375.56,1409.0,1699.0,3390.57,12759.52
10/04 18:40:26,,,,157.0,24186.0,27004.0,326.05,46.01,6.28,195.0,37994.0,24800.0,322.02,12.64,64.88,5.13,135.0,20656.0,331.93,29.27,6.3,828328,988,0.25,0.38,654.0,114.0,51.3,18.16,1797.0,1886.0,6401.91,13734.17,5309.0,5926.0,28723.31,43381.21,1670.0,1944.0,5231.46,14378.3
10/04 18:40:28,,,,146.0,23452.0,16354.0,272.64,33.69,5.65,164.0,23524.0,20138.0,266.23,10.79,88.56,6.1,124.0,19006.0,301.11,83.44,5.82,828404,1068,0.25,0.35,651.0,122.0,50.62,19.58,1431.0,1472.0,3808.47,10561.54,4031.0,4595.0,19110.43,33250.63,1537.0,1256.0,5048.67,8406.45
10/04 18:40:30,,,,120.0,20406.0,18576.0,324.85,22.57,6.08,169.0,27112.0,23982.0,302.33,7.14,38.38,5.59,163.0,19984.0,314.87,42.3,6.1,828480,1144,0.3,0.38,642.0,116.0,51.8,18.72,1615.0,1893.0,5325.87,14074.65,4749.0,5447.0,25348.34,39813.84,1361.0,1543.0,3217.33,11327.34
10/04 18:40:32,,,,171.0,26234.0,23830.0,292.77,50.42,5.85,182.0,32130.0,21664.0,295.57,12.8,72.48,5.49,155.0,24306.0,279.23,37.46,5.81,828552,1164,0.25,0.35,640.0,117.0,50.77,18.8,1720.0,1887.0,5690.29,13485.58,4850.0,5372.0,25600.56,39609.11,1585.0,1687.0,4724.33,11915.74
10/04 18:40:34,,,,147.0,16352.0,26226.0,289.65,47.37,6.41,183.0,25424.0,26096.0,281.53,13.76,42.07,5.47,139.0,20286.0,283.65,43.96,6.58,828640,1276,0.28,0.35,642.0,112.0,51.54,17.98,1553.0,1681.0,4696.02,11828.24,4598.0,4370.0,25325.57,30777.5,1722.0,1913.0,5751.19,13715.67
10/04 18:40:36,,,,110.0,17418.0,15310.0,297.53,27.89,7.76,170.0,24248.0,25856.0,294.73,13.79,81.98,5.88,115.0,16696.0,240.73,26.44,5.94,828664,1288,0.28,0.38,643.0,113.0,51.08,18.05,1159.0,1331.0,2023.83,9877.41,3512.0,3415.0,17932.88,26534.94,1285.0,1172.0,3728.68,8298.04
10/04 18:40:38,,,,181.0,26242.0,23676.0,275.79,62.28,5.52,124.0,16244.0,16130.0,261.08,12.3,97.52,8.06,116.0,16490.0,279.48,63.28,6.33,828700,1408,0.28,0.35,641.0,110.0,50.35,17.65,1471.0,1495.0,3736.39,10683.37,3763.0,4132.0,18409.98,28498.4,1374.0,1168.0,3944.1,7788.78
10/04 18:40:40,,,,164.36,25069.31,26495.05,313.73,43.81,5.81,220.79,35461.39,25087.13,274.23,13.56,56.5,4.52,121.78,16457.43,286.28,71.2,7.72,828820,1448,0.32,0.27,634.65,116.83,50.02,18.89,1785.15,1821.78,6236.99,12915.95,4594.06,5496.04,23699.28,39829.35,1823.76,1614.85,7315.27,10784.3
10/04 18:40:42,,,,189.11,19259.41,31746.53,269.72,39.58,5.28,185.15,30203.96,22324.75,283.71,10.92,61.33,5.39,188.12,26900.99,277.29,65.76,5.31,828684,424,0.3,0.27,638.61,109.9,49.54,17.49,1808.91,2259.41,5156.83,16747.66,5469.31,5352.48,30285.57,37320.05,1942.57,1935.64,7134.75,13441.34
10/04 18:40:44,,,,155.45,19263.37,22685.15,269.86,119.39,6.42,187.13,27524.75,23326.73,271.75,9.15,40.31,5.05,161.39,21386.14,288.28,39.39,5.87,828988,512,0.5,0.27,637.62,108.91,49.7,17.31,1319.8,1812.87,1863.69,13849.15,5179.21,5071.29,27559.1,36592.61,1528.71,1910.89,3672.74,14096.69
10/04 18:40:46,,,,174.0,23006.0,28190.0,294.23,85.11,5.79,172.0,30426.0,21000.0,298.99,6.46,47.9,5.73,161.0,23592.0,282.35,44.7,5.89,829064,588,0.27,0.3,673.0,119.0,53.04,19.14,1898.0,1992.0,6455.57,13815.41,4733.0,5341.0,23807.92,37812.91,1875.0,1671.0,7086.73,10940.65
10/04 18:40:48,,,,166.34,26489.11,22164.36,292.5,60.23,5.99,178.22,27891.09,15811.88,245.22,6.39,34.18,5.09,153.47,22594.06,262.22,112.42,6.45,829136,472,0.3,0.27,657.43,128.71,52.37,20.74,1652.48,1530.69,6196.85,10134.21,4421.78,4897.03,22086.09,36369.39,1453.47,1678.22,3651.6,12409.6
10/04 18:40:50,,,,166.34,21906.93,25021.78,282.13,90.15,5.99,178.22,28267.33,22914.85,287.19,9.68,49.51,5.28,161.39,22059.41,268.61,40.99,5.93,829216,600,0.27,0.22,656.44,116.83,51.96,19.26,1661.39,1817.82,5342.52,13254.56,4682.18,5039.6,25089.28,36099.0,1547.52,1664.36,4718.37,11843.42
10/04 18:40:52,,,,154.46,24461.39,22502.97,304.06,73.1,6.46,169.31,30118.81,20205.94,297.24,7.59,88.84,5.42,182.18,26885.15,296.53,61.96,5.36,829292,628,0.32,0.3,651.49,113.86,50.51,18.72,1274.26,1783.17,1747.34,13710.48,5313.86,5830.69,28425.77,41275.56,1385.15,1971.29,2371.29,15093.63
10/04 18:40:54,,,,109.0,15872.0,16800.0,299.74,22.52,6.7,131.0,18296.0,19130.0,285.69,3.34,29.44,5.95,149.0,21660.0,289.48,31.6,5.67,829372,720,0.25,0.25,656.0,112.0,51.93,18.46,1526.0,1411.0,5146.55,9842.33,3638.0,3954.0,18503.26,28122.41,1542.0,1247.0,5353.4,8257.63
10/04 18:40:56,,,,160.4,28235.64,22649.5,317.25,45.15,6.22,135.64,19146.53,18992.08,281.17,4.08,37.15,5.67,178.22,23772.28,270.72,43.97,5.59,829448,796,0.32,0.25,646.53,121.78,50.93,19.2,1832.67,1829.7,6319.12,12918.05,4741.58,5194.06,24537.46,36300.77,1441.58,1543.56,3670.41,10798.74
10/04 18:40:58,,,,162.38,24895.05,23049.5,295.27,44.16,6.02,185.15,34724.75,23271.29,313.24,5.95,32.52,4.88,183.17,27057.43,287.38,58.46,5.43,829520,840,0.25,0.2,651.49,110.89,51.31,17.58,1560.4,1545.54,4564.04,10781.82,5020.79,5939.6,25096.38,43043.35,1482.18,1909.9,3370.3,14423.34
10/04 18:41:00,,,,156.44,20984.16,26413.86,302.99,54.08,6.21,173.27,37265.35,16786.14,311.95,13.1,39.17,5.76,130.69,16960.4,328.29,30.61,6.61,829600,920,0.3,0.22,645.54,109.9,49.8,18.24,1589.11,1564.36,5132.95,11248.6,4735.64,5649.5,24139.31,42535.13,1490.1,1684.16,4091.23,12488.38
10/04 18:41:02,,,,182.18,26124.75,29229.7,303.85,41.97,5.47,171.29,30146.53,18229.7,282.43,10.99,58.63,5.82,136.63,22039.6,294.46,24.22,6.1,829676,952,0.35,0.2,653.47,120.79,51.34,19.39,1868.32,1819.8,7302.89,12585.01,4749.5,5281.19,24965.54,37863.12,1765.35,1733.66,6363.98,12134.26
