date,_label_nic_down:1,_label_tc_delay:1,_label_vdb_hack:1,dev_sdc_tps,dev_sdc_rd_sec,dev_sdc_wr_sec,dev_sdc_avgrq-sz,dev_sdc_await,dev_sdc_svctm,dev_sde_tps,dev_sde_rd_sec,dev_sde_wr_sec,dev_sde_avgrq-sz,dev_sde_avgqu-sz,dev_sde_await,dev_sde_svctm,dev_sdg_tps,dev_sdg_wr_sec,dev_sdg_avgrq-sz,dev_sdg_await,dev_sdg_svctm,cached,dirty,cpu_all_usr,cpu_all_sys,iface_enp6s0f0_rxpck,iface_enp6s0f0_txpck,iface_enp6s0f0_rxkB,iface_enp6s0f0_txkB,iface_enp6s0f1_rxpck,iface_enp6s0f1_txpck,iface_enp6s0f1_rxkB,iface_enp6s0f1_txkB,iface_enp131s0f0_rxpck,iface_enp131s0f0_txpck,iface_enp131s0f0_rxkB,iface_enp131s0f0_txkB,iface_enp131s0f1_rxpck,iface_enp131s0f1_txpck,iface_enp131s0f1_rxkB,iface_enp131s0f1_txkB
10/04 19:17:47,,,,180.0,29092.0,26972.0,311.47,55.26,5.56,187.0,29204.0,28088.0,306.37,13.42,83.7,5.35,150.0,20544.0,285.6,30.06,5.73,839892,1524,0.33,0.18,641.0,126.0,48.98,19.44,1445.0,1697.0,3496.33,12697.13,4897.0,5505.0,26744.4,40946.26,1557.0,1848.0,5110.57,13817.98
10/04 19:17:48,,,,173.27,29097.03,24229.7,307.77,42.9,5.52,174.26,33152.48,20049.5,305.31,10.0,71.18,5.15,133.66,18718.81,264.36,25.54,6.76,839936,1580,0.25,0.35,643.56,117.82,51.2,17.98,1505.94,1347.52,4724.47,9372.83,4439.6,5334.65,22814.71,39586.13,1496.04,1890.1,4320.85,14252.64
10/04 19:17:49,,,,157.0,20100.0,26010.0,293.69,66.04,5.64,199.0,37138.0,23956.0,307.01,13.5,71.52,5.03,147.0,18528.0,290.72,29.52,6.27,839972,1616,0.38,0.23,647.0,117.0,49.1,17.8,1500.0,1839.0,4051.3,13717.38,4993.0,5600.0,27036.71,41140.34,1609.0,1777.0,5435.35,12996.17
10/04 19:17:50,,,,183.17,28582.18,25425.74,294.85,42.74,5.24,186.14,31893.07,24073.27,300.67,11.01,52.41,5.37,169.31,25005.94,291.27,46.3,5.79,840012,1656,0.2,0.42,653.47,120.79,49.98,18.42,1788.12,1900.99,6641.71,13799.01,5128.71,5853.47,26621.18,42869.86,1710.89,1771.29,5312.81,12902.68
10/04 19:17:51,,,,174.0,31948.0,18578.0,290.38,73.9,5.75,165.0,22698.0,20526.0,261.96,11.46,57.42,6.06,192.0,25866.0,279.93,46.35,5.21,840048,1264,0.43,0.28,642.0,123.0,48.58,18.67,1525.0,1648.0,4627.47,11826.12,4900.0,5743.0,25050.83,41932.9,1508.0,1797.0,4507.44,13172.86
10/04 19:17:52,,,,181.19,21499.01,30621.78,287.66,50.36,5.51,180.2,31423.76,16447.52,265.66,13.22,98.59,5.54,157.43,26112.87,304.29,88.05,6.34,840088,1304,0.17,0.42,641.58,115.84,51.96,17.63,1773.27,1767.33,6738.69,12452.05,4581.19,5159.41,23731.11,37754.24,1511.88,1568.32,4822.83,11168.9
10/04 19:17:53,,,,156.0,25372.0,23430.0,312.83,64.23,5.99,191.0,31652.0,20974.0,275.53,12.12,62.08,5.24,146.0,16210.0,288.08,22.14,6.09,840124,1356,0.45,0.25,632.0,116.0,47.65,17.51,1269.0,1525.0,2681.29,11268.7,4838.0,5674.0,25809.45,41841.98,1439.0,1862.0,3796.55,13973.65
10/04 19:17:54,,,,119.8,20221.78,16453.47,306.13,37.65,6.73,164.36,28017.82,19407.92,288.55,12.05,59.66,6.07,134.65,24817.82,331.43,25.38,5.98,840164,1396,0.37,0.35,673.27,118.81,51.55,18.05,1509.9,1212.87,5145.24,8175.26,4097.03,4470.3,21392.61,34362.89,1545.54,1791.09,4808.19,13185.92
10/04 19:17:55,,,,167.0,28148.0,23956.0,312.0,58.75,5.99,182.0,27832.0,24090.0,285.29,12.36,57.13,5.49,186.0,29608.0,296.13,39.7,5.33,840200,780,0.35,0.33,644.0,116.0,49.08,17.74,1711.0,1820.0,6052.64,13419.93,4843.0,5531.0,26308.12,41138.29,1543.0,1754.0,4871.41,12948.43
10/04 19:17:56,,,,158.42,28580.2,22756.44,324.06,58.13,6.09,188.12,32974.26,28124.75,324.79,12.46,71.65,5.31,159.41,25205.94,319.9,41.45,6.11,840240,360,0.15,0.4,638.61,119.8,51.17,18.11,1690.1,1763.37,5973.41,12661.06,5275.25,6001.98,29124.54,44096.33,1640.59,2156.44,5113.28,16454.97
10/04 19:17:57,,,,172.0,22226.0,27192.0,287.31,43.49,5.67,174.0,31270.0,23830.0,316.67,12.91,65.06,5.75,174.0,26274.0,315.31,72.53,5.51,840276,392,0.38,0.25,636.0,122.0,49.16,18.6,1829.0,1779.0,7308.13,12763.92,4845.0,5460.0,26182.13,41178.05,1490.0,1754.0,4083.27,12951.06
10/04 19:17:58,,,,148.0,17836.0,27254.0,304.66,33.76,6.02,167.0,27446.0,25112.0,314.72,14.68,68.02,6.04,111.0,16070.0,298.68,19.01,6.22,840320,468,0.12,0.3,636.0,123.0,49.38,18.9,1390.0,1777.0,3358.46,13354.42,4526.0,4206.0,25979.17,31768.55,1473.0,1760.0,4393.59,13084.02
10/04 19:17:59,,,,176.0,25850.0,28554.0,309.11,33.78,5.43,185.0,30652.0,21006.0,279.23,12.84,98.13,5.41,136.0,18822.0,298.19,41.88,6.54,840324,472,0.45,0.25,609.0,111.0,45.58,16.71,1460.0,1720.0,4396.12,12633.02,4991.0,5391.0,27522.79,39521.21,1703.0,1936.0,6211.75,14279.8
10/04 19:18:00,,,,126.73,12681.19,21853.47,272.5,35.62,5.91,142.57,22560.4,22461.39,315.78,12.87,108.92,7.0,148.51,21100.99,280.57,49.43,6.45,840396,544,0.15,0.4,622.77,119.8,51.82,18.33,1483.17,1507.92,5014.72,10724.29,4086.14,4004.95,21381.81,28235.8,1362.38,1481.19,3706.44,10650.31
10/04 19:18:01,,,,151.0,20260.0,23864.0,292.21,41.22,6.54,194.0,36146.0,21334.0,296.29,11.73,59.63,5.15,160.0,21502.0,253.94,37.35,6.09,840432,548,0.4,0.28,628.0,119.0,49.13,18.18,1738.0,2031.0,6107.43,15118.17,4858.0,5112.0,26452.16,37880.16,1521.0,1640.0,4725.3,11830.2
10/04 19:18:02,,,,181.19,24823.76,23910.89,268.97,67.35,5.51,179.21,30962.38,23326.73,302.94,11.38,56.79,5.57,171.29,24556.44,284.2,42.21,5.61,840468,588,0.2,0.4,624.75,113.86,49.31,17.5,1460.4,1747.52,3884.63,13034.91,5215.84,5655.45,28293.59,40449.38,1400.0,1963.37,3081.55,15054.64
10/04 19:18:03,,,,174.0,29876.0,24182.0,310.68,78.6,5.75,147.0,21434.0,21396.0,291.36,9.13,76.53,6.8,159.0,21664.0,284.96,57.26,5.88,840508,640,0.4,0.3,634.0,117.0,46.97,17.8,1697.0,1754.0,5857.0,12675.19,4622.0,5166.0,25207.36,38102.25,1482.0,1660.0,4395.89,12090.99
10/04 19:18:04,,,,189.11,31948.51,27443.56,314.06,49.81,5.27,158.42,28025.74,19055.45,297.2,6.61,37.97,5.67,151.49,21479.21,272.85,48.31,6.58,840548,680,0.15,0.35,638.61,120.79,51.64,18.2,1860.4,1773.27,7202.58,12422.34,4647.52,5431.68,24127.33,40048.28,1796.04,1657.43,6833.84,11538.4
10/04 19:18:05,,,,166.0,20688.0,28878.0,298.59,67.6,6.03,162.0,20626.0,21590.0,260.59,5.12,36.91,5.91,162.0,25994.0,303.69,103.26,6.18,840584,716,0.4,0.28,639.0,118.0,48.89,18.07,1702.0,1376.0,6636.97,9119.5,4271.0,4579.0,22610.88,32915.7,1456.0,1795.0,3822.55,13417.46
10/04 19:18:06,,,,142.57,15514.85,24239.6,278.83,76.35,6.99,178.22,24015.84,20207.92,248.14,7.61,40.29,5.47,160.4,17168.32,299.85,93.8,6.22,840624,708,0.15,0.37,633.66,120.79,50.17,18.44,1582.18,1612.87,5296.05,11430.63,4303.96,4867.33,22288.77,35073.75,1593.07,1570.3,5464.81,11008.78
10/04 19:18:07,,,,155.0,24430.0,20354.0,288.93,63.57,6.45,184.0,34322.0,20632.0,298.66,9.54,53.07,5.43,177.0,24052.0,296.87,83.74,5.65,840660,744,0.38,0.28,626.0,117.0,46.99,17.55,1394.0,1819.0,3339.76,13682.6,5091.0,6088.0,27240.54,44568.87,1395.0,1819.0,3552.92,13753.26
10/04 19:18:08,,,,164.0,23554.0,27274.0,309.93,47.4,5.62,149.0,21156.0,18246.0,264.44,11.93,75.78,6.77,155.0,23596.0,286.23,104.68,6.5,840704,792,0.12,0.35,641.0,115.0,53.12,17.43,1607.0,1569.0,5855.79,11096.4,4101.0,4455.0,20929.85,33063.64,1422.0,1327.0,4490.54,9261.78
10/04 19:18:09,,,,166.0,25618.0,26192.0,312.11,41.81,5.72,192.0,41870.0,16788.0,305.51,12.6,47.94,5.21,174.0,21406.0,275.79,54.3,5.68,840736,824,0.35,0.3,628.0,118.0,49.47,18.1,1621.0,1582.0,5409.41,11289.23,4907.0,6250.0,25492.81,47479.23,1571.0,1793.0,5407.43,13210.45
10/04 19:18:10,,,,178.22,23384.16,24075.25,266.3,53.76,5.43,168.32,27924.75,18000.0,272.85,14.27,62.68,5.93,161.39,25716.83,298.97,47.57,6.18,840780,868,0.15,0.35,631.68,114.85,50.11,17.34,1771.29,1698.02,6956.05,11573.2,4422.77,5023.76,23478.83,37280.57,1518.81,1731.68,4481.78,12693.21
