date,_label_nic_down:1,_label_tc_delay:1,_label_vdb_hack:1,dev_sdc_tps,dev_sdc_rd_sec,dev_sdc_wr_sec,dev_sdc_avgrq-sz,dev_sdc_await,dev_sdc_svctm,dev_sde_tps,dev_sde_rd_sec,dev_sde_wr_sec,dev_sde_avgrq-sz,dev_sde_avgqu-sz,dev_sde_await,dev_sde_svctm,dev_sdg_tps,dev_sdg_wr_sec,dev_sdg_avgrq-sz,dev_sdg_await,dev_sdg_svctm,cached,dirty,cpu_all_usr,cpu_all_sys,iface_enp6s0f0_rxpck,iface_enp6s0f0_txpck,iface_enp6s0f0_rxkB,iface_enp6s0f0_txkB,iface_enp6s0f1_rxpck,iface_enp6s0f1_txpck,iface_enp6s0f1_rxkB,iface_enp6s0f1_txkB,iface_enp131s0f0_rxpck,iface_enp131s0f0_txpck,iface_enp131s0f0_rxkB,iface_enp131s0f0_txkB,iface_enp131s0f1_rxpck,iface_enp131s0f1_txpck,iface_enp131s0f1_rxkB,iface_enp131s0f1_txkB
10/04 17:15:26,,,,166.0,12866.0,37528.0,303.58,44.81,5.38,144.0,17774.0,28894.0,324.08,3.01,20.86,5.79,155.0,32036.0,298.35,35.14,6.3,708480,1052,0.15,0.33,643.0,120.0,48.74,18.45,2435.0,1909.0,12224.29,12611.05,3807.0,3272.0,21720.24,22660.78,2897.0,1541.0,17059.62,8676.83
10/04 17:15:27,,,,146.0,11878.0,30542.0,290.55,36.97,6.12,155.0,20112.0,28130.0,311.24,4.91,31.34,5.82,131.0,21734.0,316.89,26.2,5.79,708516,1096,0.37,0.25,645.0,110.0,51.26,17.58,1910.0,1206.0,8572.05,7377.56,3723.0,3615.0,19177.75,26197.34,2412.0,1796.0,12265.89,12209.28
10/04 17:15:28,,,,165.0,17014.0,30850.0,290.08,57.25,6.05,123.0,14126.0,23880.0,308.99,3.74,30.72,5.89,152.0,27718.0,311.51,39.04,6.04,708556,1136,0.18,0.38,635.0,120.0,48.2,18.48,2194.0,1913.0,10189.7,13241.35,4336.0,3735.0,24693.26,25674.17,1745.0,1627.0,6399.07,11401.87
10/04 17:15:29,,,,150.5,15851.49,29073.27,298.51,39.16,5.98,172.28,22673.27,25249.5,278.17,11.83,31.57,5.72,156.44,23980.2,281.33,41.43,5.72,708604,1184,0.35,0.22,627.72,118.81,48.63,18.02,2010.89,1677.23,8896.39,11208.28,4366.34,4174.26,23844.77,29589.96,2212.87,1828.71,10758.18,12526.31
10/04 17:15:30,,,,147.0,13770.0,23800.0,255.58,57.18,6.8,161.0,17138.0,28048.0,280.66,12.96,112.85,6.21,175.0,29290.0,310.1,60.43,5.63,708984,1168,0.18,0.38,634.0,108.0,47.75,17.45,1898.0,1904.0,7615.18,13631.14,4445.0,3888.0,26034.13,28194.88,2044.0,1819.0,9342.47,12409.5
10/04 17:15:31,,,,135.64,11532.67,25712.87,274.58,100.27,7.35,188.12,23940.59,37200.0,325.01,12.33,55.67,5.3,177.23,31497.03,308.16,57.12,5.55,708720,1216,0.37,0.32,631.68,96.04,50.2,16.33,2433.66,1831.68,12405.93,12045.43,4345.54,4138.61,25259.61,29598.75,2370.3,1954.46,11327.46,13054.81
10/04 17:15:32,,,,167.0,21206.0,30390.0,308.96,47.32,5.99,146.0,16776.0,25262.0,287.93,11.75,96.79,6.85,143.0,19446.0,277.78,47.01,6.54,708952,1244,0.25,0.3,638.0,103.0,48.23,17.61,2059.0,1558.0,9725.39,10399.04,3840.0,3991.0,20960.36,28855.96,1904.0,1517.0,8013.1,10272.55
10/04 17:15:33,,,,150.5,10596.04,28172.28,257.61,106.68,6.63,161.39,20930.69,26748.51,295.44,12.54,68.76,6.18,136.63,21897.03,270.91,52.23,6.46,708504,1308,0.45,0.27,639.6,93.07,49.27,15.91,1904.95,1413.86,8578.18,8915.3,3527.72,3284.16,18782.13,23072.72,1970.3,1461.39,9083.62,9185.83
10/04 17:15:34,,,,170.0,18078.0,36022.0,318.24,76.64,5.61,177.0,18112.0,27836.0,259.59,11.18,53.09,5.65,125.0,17864.0,276.21,101.3,8.0,708444,1344,0.2,0.33,630.0,98.0,47.27,16.21,2319.0,1653.0,11773.16,10581.8,4009.0,3716.0,22002.05,25479.71,2164.0,1802.0,10360.34,12049.1
10/04 17:15:35,,,,131.0,12588.0,28378.0,312.72,26.83,5.95,182.0,18330.0,35464.0,295.57,11.73,59.91,5.53,193.0,32114.0,285.05,56.87,5.22,708496,284,0.42,0.32,643.0,96.0,51.89,16.91,2139.0,1851.0,9815.78,12589.05,4391.0,3983.0,24994.13,27450.16,2206.0,1846.0,10332.45,12380.5
10/04 17:15:36,,,,160.0,19690.0,29280.0,306.06,36.64,6.14,177.0,21704.0,30758.0,296.4,12.51,71.63,5.65,157.0,24008.0,254.87,74.76,5.93,708380,316,0.2,0.35,633.0,88.0,47.7,15.69,2211.0,1277.0,11324.8,7248.58,3477.0,3872.0,17895.71,27748.38,2237.0,1650.0,11193.79,10592.57
