date,contVaeMngr_AbortAllVaeMigrations:03582,raidMigrate_TrcErrCb:00200,contCmd_StartMigration:05425,contVaeMngr_AbortAllVaeMigrations:03547,contCmd_AbortMigration:05459,contCmd_EndMigration:05488,contCmd_EndMigration:05521,contCmd_AbortMigration:05478,contCmd_StartMigration:05449,raidComb_StartMigrate:02486,raidComb_EndMigrateInter:02725,
25/03 15:54:58,0,0,0,0,0,1,1,0,0,0,1,
25/03 15:54:59,0,0,1,0,0,0,0,0,1,1,0,
25/03 15:55:18,0,0,0,0,0,1,1,0,0,0,1,
25/03 15:56:15,0,0,1,0,0,1,1,0,1,1,1,
25/03 15:56:53,0,0,1,0,0,1,1,0,1,1,1,
25/03 15:57:01,0,0,1,0,0,1,1,0,1,1,1,
25/03 15:58:16,0,0,1,0,0,1,1,0,1,1,1,
25/03 15:59:00,0,0,1,0,0,1,1,0,1,1,1,
25/03 15:59:29,0,0,2,0,0,0,0,0,2,2,0,
25/03 15:59:43,0,0,0,0,0,1,1,0,0,0,1,
25/03 16:01:12,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:01:35,0,0,0,0,0,1,1,0,0,0,1,
25/03 16:01:36,0,0,0,0,0,1,1,0,0,0,1,
25/03 16:01:37,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:01:51,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:03:05,0,0,0,0,0,1,1,0,0,0,1,
25/03 16:03:42,0,0,1,0,0,0,0,0,1,1,0,
25/03 16:03:58,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:04:47,0,0,0,0,0,1,1,0,0,0,1,
25/03 16:05:58,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:06:10,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:06:50,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:06:52,0,0,1,0,0,0,0,0,1,1,0,
25/03 16:07:57,0,0,0,0,0,1,1,0,0,0,1,
25/03 16:08:56,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:10:01,0,0,1,0,0,0,0,0,1,1,0,
25/03 16:10:26,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:10:56,0,0,0,0,0,1,1,0,0,0,1,
25/03 16:10:57,0,0,1,0,0,0,0,0,1,1,0,
25/03 16:11:06,0,0,0,0,0,1,1,0,0,0,1,
25/03 16:11:48,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:13:09,0,0,1,0,0,0,0,0,1,1,0,
25/03 16:13:12,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:14:13,0,0,0,0,0,1,1,0,0,0,1,
25/03 16:15:14,0,0,2,0,0,0,0,0,2,2,0,
25/03 16:16:09,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:16:39,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:17:22,0,0,0,0,0,2,2,0,0,0,2,
25/03 16:17:28,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:17:31,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:18:23,0,0,6,0,0,0,0,0,6,6,0,
25/03 16:20:26,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:20:31,0,0,1,0,0,2,2,0,1,1,2,
25/03 16:20:32,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:20:55,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:21:34,0,0,0,0,0,1,1,0,0,0,1,
25/03 16:21:35,0,0,0,0,0,2,2,0,0,0,2,
25/03 16:21:47,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:22:16,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:22:39,0,0,1,0,0,2,2,0,1,1,2,
25/03 16:23:44,0,0,0,0,0,1,1,0,0,0,1,
25/03 16:24:44,0,0,2,0,0,0,0,0,2,2,0,
25/03 16:26:32,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:26:45,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:26:52,0,0,0,0,0,2,2,0,0,0,2,
25/03 16:27:30,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:27:54,0,0,4,0,0,0,0,0,4,4,0,
25/03 16:28:05,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:28:59,0,0,0,0,0,1,1,0,0,0,1,
25/03 16:30:01,0,0,0,0,0,1,1,0,0,0,1,
25/03 16:30:02,0,0,0,0,0,2,2,0,0,0,2,
25/03 16:31:01,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:31:03,0,0,3,0,0,0,0,0,3,3,0,
25/03 16:31:09,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:31:46,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:32:56,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:33:11,0,0,0,0,0,3,3,0,0,0,3,
25/03 16:34:12,0,0,3,0,0,0,0,0,3,3,0,
25/03 16:35:17,0,0,0,0,0,1,1,0,0,0,1,
25/03 16:35:53,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:36:01,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:36:02,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:36:20,0,0,0,0,0,2,2,0,0,0,2,
25/03 16:37:12,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:37:21,0,0,2,0,0,0,0,0,2,2,0,
25/03 16:39:29,0,0,0,0,0,2,2,0,0,0,2,
25/03 16:40:09,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:40:17,0,0,2,0,0,2,2,0,2,2,2,
25/03 16:40:29,0,0,5,0,0,0,0,0,5,5,0,
25/03 16:41:28,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:42:36,0,0,0,0,0,1,1,0,0,0,1,
25/03 16:44:26,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:44:33,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:44:34,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:44:45,0,0,1,0,0,4,4,0,1,1,4,
25/03 16:45:44,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:45:50,0,0,0,0,0,1,1,0,0,0,1,
25/03 16:46:52,0,0,3,0,0,0,0,0,3,3,0,
25/03 16:48:42,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:48:49,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:48:50,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:48:59,0,0,0,0,0,2,2,0,0,0,2,
25/03 16:49:00,0,0,0,0,0,1,1,0,0,0,1,
25/03 16:50:00,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:52:08,0,0,5,0,0,0,0,0,5,5,0,
25/03 16:52:58,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:53:05,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:53:06,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:54:15,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:54:16,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:56:56,0,0,3,0,0,4,4,0,3,3,4,
25/03 16:57:14,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:57:22,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:57:24,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:58:32,0,0,0,0,0,1,1,0,0,0,1,
25/03 16:59:03,0,0,0,0,0,1,1,0,0,0,1,
25/03 16:59:11,0,0,1,0,0,1,1,0,1,1,1,
25/03 16:59:36,0,0,0,0,0,2,2,0,0,0,2,
25/03 17:01:38,0,0,1,0,0,1,1,0,1,1,1,
25/03 17:02:25,0,0,1,0,0,1,1,0,1,1,1,
25/03 17:02:32,0,0,1,0,0,1,1,0,1,1,1,
25/03 17:02:43,0,0,2,0,0,0,0,0,2,2,0,
25/03 17:03:27,0,0,1,0,0,1,1,0,1,1,1,
25/03 17:04:51,0,0,0,0,0,2,2,0,0,0,2,
25/03 17:06:10,0,0,1,0,0,1,1,0,1,1,1,
25/03 17:07:59,0,0,5,0,0,0,0,0,5,5,0,
25/03 17:09:01,0,0,1,0,0,1,1,0,1,1,1,
25/03 17:09:12,0,0,1,0,0,1,1,0,1,1,1,
25/03 17:10:05,0,0,1,0,0,1,1,0,1,1,1,
25/03 17:10:06,0,0,1,0,0,2,2,0,1,1,2,
25/03 17:10:07,0,0,3,0,0,3,3,0,3,3,3,
25/03 17:11:55,0,0,1,0,0,1,1,0,1,1,1,
25/03 17:12:13,0,0,0,0,0,1,1,0,0,0,1,
25/03 17:12:14,0,0,0,0,0,2,2,0,0,0,2,
25/03 17:12:15,0,0,0,0,0,1,1,0,0,0,1,
25/03 17:13:15,0,0,2,0,0,0,0,0,2,2,0,
25/03 17:13:17,0,0,1,0,0,1,1,0,1,1,1,
25/03 17:13:27,0,0,1,0,0,1,1,0,1,1,1,
25/03 17:14:20,0,0,0,0,0,2,2,0,0,0,2,
25/03 17:14:22,0,0,1,0,0,1,1,0,1,1,1,
25/03 17:15:22,0,0,3,0,0,0,0,0,3,3,0,
25/03 17:17:30,0,0,2,0,0,3,3,0,2,2,3,
25/03 17:17:32,0,0,1,0,0,1,1,0,1,1,1,
25/03 17:18:38,0,0,1,0,0,1,1,0,1,1,1,
25/03 17:18:55,0,0,1,0,0,1,1,0,1,1,1,
25/03 17:19:05,0,0,1,0,0,1,1,0,1,1,1,
25/03 17:19:38,0,0,2,0,0,2,2,0,2,2,2,
25/03 17:21:46,0,0,0,0,0,2,2,0,0,0,2,
