date,raidComb_SetPriTgtGenNum:01922,contCmd_SetCombState:05414,raidComb_SendMdmCombState:01610,contIniState_InitStateAccess:00164,raidComb_SetState:01843,raidComb_SetState:01702,raidComb_SetCombState:00128,raidComb_SendMdmCombState:01489,raidCombState_ValidateCombGen:12574,raidComb_SendMdmCombState:01439,raidComb_ValidateStateTransition:00901,raidComb_SendMdmCombState:01463,raidCombState_ValidateCombGen:12552,
25/03 14:05:00,3,3,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:05:12,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:05:17,3,3,0,0,1,0,4,0,0,0,0,0,0,
25/03 14:05:18,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:05:49,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:05:52,3,3,0,0,1,1,4,0,0,0,0,0,0,
25/03 14:05:54,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:06:27,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:06:43,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:07:05,3,3,0,0,1,1,4,0,0,0,0,0,0,
25/03 14:07:20,6,6,0,0,1,0,4,0,0,0,0,0,0,
25/03 14:08:03,3,3,0,0,1,1,4,0,0,0,0,0,0,
25/03 14:08:05,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:09:00,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:09:45,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:09:55,2,2,0,0,1,0,4,0,0,0,0,0,0,
25/03 14:09:56,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:10:27,3,3,0,0,1,1,4,0,0,0,0,0,0,
25/03 14:10:45,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:11:18,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:11:28,2,2,0,0,1,0,4,0,0,0,0,0,0,
25/03 14:11:32,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:11:34,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:11:53,3,3,0,0,1,1,4,0,0,0,0,0,0,
25/03 14:11:54,4,4,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:12:20,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:12:52,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:12:56,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:12:58,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:13:04,2,2,0,0,1,0,4,0,0,0,0,0,0,
25/03 14:13:22,3,3,0,0,1,0,4,0,0,0,0,0,0,
25/03 14:13:25,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:13:36,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:14:23,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:14:32,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:14:34,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:14:48,2,2,0,0,1,0,4,0,0,0,0,0,0,
25/03 14:14:49,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:14:54,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:15:02,3,3,0,0,1,0,4,0,0,0,0,0,0,
25/03 14:15:03,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:15:23,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:15:27,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:15:29,3,3,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:15:56,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:16:29,2,2,0,0,1,1,4,0,0,0,0,0,0,
25/03 14:16:32,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:16:42,2,2,0,0,1,0,4,0,0,0,0,0,0,
25/03 14:16:43,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:17:42,2,2,0,0,1,0,4,0,0,0,0,0,0,
25/03 14:17:43,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:17:54,2,2,0,0,1,1,4,0,0,0,0,0,0,
25/03 14:17:56,3,3,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:18:23,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:18:36,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:18:42,3,3,0,0,1,0,4,0,0,0,0,0,0,
25/03 14:18:43,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:19:11,3,3,0,0,1,1,4,0,0,0,0,0,0,
25/03 14:19:41,4,4,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:19:44,2,2,0,0,1,1,4,0,0,0,0,0,0,
25/03 14:19:45,3,3,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:20:11,2,2,0,0,1,1,4,0,0,0,0,0,0,
25/03 14:20:12,3,3,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:20:51,3,3,0,0,1,0,4,0,0,0,0,0,0,
25/03 14:20:52,3,3,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:20:54,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:21:08,2,2,0,0,1,1,4,0,0,0,0,0,0,
25/03 14:21:09,3,3,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:21:50,2,2,0,0,1,0,4,0,0,0,0,0,0,
25/03 14:21:52,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:22:09,4,4,0,0,1,1,4,0,0,0,0,0,0,
25/03 14:22:48,2,2,0,0,1,0,4,0,0,0,0,0,0,
25/03 14:22:49,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:23:08,2,2,0,0,1,1,4,0,0,0,0,0,0,
25/03 14:23:09,2,2,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:23:47,5,5,0,0,1,0,4,0,0,0,0,0,0,
25/03 14:24:08,3,3,0,0,1,0,4,0,0,0,0,0,0,
25/03 14:24:10,3,3,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:24:52,2,2,0,0,1,0,4,0,0,0,0,0,0,
25/03 14:24:54,3,3,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:25:11,2,2,0,0,1,1,4,0,0,0,0,0,0,
25/03 14:25:12,4,4,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:25:54,3,3,0,0,1,0,4,0,0,0,0,0,0,
25/03 14:25:56,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:26:14,3,3,0,0,1,1,4,0,0,0,0,0,0,
25/03 14:26:56,2,2,0,0,1,1,4,0,0,0,0,0,0,
25/03 14:27:17,3,3,0,0,1,0,4,0,0,0,0,0,0,
25/03 14:27:19,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:27:55,2,2,0,0,1,0,4,0,0,0,0,0,0,
25/03 14:27:56,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:28:14,3,3,0,0,1,1,4,0,0,0,0,0,0,
25/03 14:28:57,3,3,0,0,1,0,4,0,0,0,0,0,0,
25/03 14:28:59,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:29:17,3,3,0,0,1,1,4,0,0,0,0,0,0,
25/03 14:29:19,1,1,0,0,0,0,0,0,0,0,0,0,0,
25/03 14:29:56,3,3,0,0,1,0,4,0,0,0,0,0,0,
25/03 14:29:59,2,2,0,0,0,0,0,0,0,0,0,0,0,
