date,contCmd_SetCombState:05414,contDevMngr_HardenAllCombs:08249,phyDev_HardenAllCombs:02658,raidComb_SetCombState:00128,
25/03 09:05:44,0,1,0,0,
25/03 09:06:45,0,1,0,0,
25/03 09:07:45,0,1,0,0,
25/03 09:08:46,0,1,0,0,
25/03 09:09:47,0,1,0,0,
25/03 09:10:48,0,1,0,0,
25/03 09:11:50,0,1,0,0,
25/03 09:12:50,0,1,0,0,
25/03 09:13:22,4,0,0,4,
25/03 09:13:51,0,1,0,0,
25/03 09:14:51,0,1,0,0,
25/03 09:15:51,0,1,0,0,
25/03 09:16:53,0,1,0,0,
25/03 09:17:54,0,1,0,0,
25/03 09:18:54,0,1,0,0,
25/03 09:19:54,0,1,0,0,
25/03 09:20:55,0,1,0,0,
25/03 09:21:58,0,1,0,0,
25/03 09:22:58,0,1,0,0,
25/03 09:24:00,0,1,0,0,
25/03 09:25:03,0,1,0,0,
25/03 09:26:05,0,1,0,0,
25/03 09:27:06,0,1,0,0,
25/03 09:28:08,0,1,0,0,
25/03 09:29:08,0,1,0,0,
25/03 09:30:10,0,1,0,0,
25/03 09:31:12,0,1,0,0,
25/03 09:31:19,2,0,0,4,
25/03 09:31:20,3,0,0,0,
25/03 09:32:14,0,1,0,0,
25/03 09:33:15,0,1,0,0,
25/03 09:34:18,0,1,0,0,
25/03 09:35:20,0,1,0,0,
25/03 09:36:21,0,1,0,0,
25/03 09:37:22,0,1,0,0,
25/03 09:38:23,0,1,0,0,
25/03 09:39:25,0,1,0,0,
25/03 09:40:20,5,0,0,0,
25/03 09:40:24,1,0,0,0,
25/03 09:40:26,0,1,0,0,
25/03 09:41:28,0,1,0,0,
25/03 09:42:31,0,1,0,0,
25/03 09:43:31,0,1,0,0,
25/03 09:43:46,5,0,0,0,
25/03 09:44:02,2,0,0,0,
25/03 09:44:34,0,1,0,0,
25/03 09:45:31,1,0,0,0,
25/03 09:45:36,0,1,0,0,
25/03 09:46:37,0,1,0,0,
25/03 09:46:41,2,0,0,4,
25/03 09:46:42,1,0,0,0,
25/03 09:47:37,0,1,0,0,
25/03 09:48:38,0,1,0,0,
25/03 09:49:39,0,1,0,0,
25/03 09:50:40,0,1,0,0,
25/03 09:51:31,1,0,0,0,
25/03 09:51:41,0,1,0,0,
25/03 09:52:22,3,0,0,4,
25/03 09:52:42,0,1,0,0,
25/03 09:53:44,0,1,0,0,
25/03 09:54:45,0,1,0,0,
25/03 09:55:02,3,0,0,0,
25/03 09:55:48,0,1,0,0,
25/03 09:56:49,0,1,0,0,
25/03 09:57:50,0,1,0,0,
25/03 09:58:36,1,0,0,0,
25/03 09:58:50,0,1,0,0,
25/03 09:59:50,0,1,0,0,
25/03 10:00:15,1,0,0,0,
25/03 10:00:51,0,1,0,0,
25/03 10:01:52,0,1,0,0,
25/03 10:02:53,0,1,0,0,
25/03 10:03:11,1,0,0,0,
25/03 10:03:54,0,1,0,0,
25/03 10:04:55,0,1,0,0,
25/03 10:05:56,2,0,0,4,
25/03 10:05:58,4,1,0,0,
25/03 10:06:59,0,1,0,0,
